Index,Organization Name,URL,Description
1,(Kasual)Kicks Soccer Club,https://bu.campuslabs.com/engage/organization/kasualkicks,"Kasual Kicks connects, learns, and grows together through soccer, enhancing student life with a welcoming, inclusive environment for all skill levels. We focus on fun, and recreational play, providing a relaxed alternative."
2,180 Degrees Consulting,https://bu.campuslabs.com/engage/organization/180-degrees-consulting,"180 Degrees Consulting is the world’s largest student-run consultancy, dedicated to helping nonprofits and social enterprises maximize their impact. For more information on how to get involved, sign up for our mailing list."
3,Above the Haze: a Chi Alpha Campus Ministry,https://bu.campuslabs.com/engage/organization/above-the-haze-a-chi-alpha-campus-ministry,"ATH is a student organization devoted to exploring and responding to the claims and teachings of Jesus Christ. We are open to all students, and we hope to create a learning environment, exploring and bringing questions about the life of Jesus."
4,A,https://bu.campuslabs.com/engage/organization/accounting-association,"Accounting Association
Bridging the gap between the academic and professional worlds, the BU Accounting Association sponsors events that bring the industry to the classroom. Event highlights include: Student internship panels, company information sessions, and EITC (Earned I..."
5,AdClub,https://bu.campuslabs.com/engage/organization/adclub,"Explore the industry or expand your portfolio as a member. We are a place to meet creative peers and be inspired by their capabilities. As a client, get professional work with a dedicated team. Reach out to become a client or learn how to sign up."
6,African Students Organization,https://bu.campuslabs.com/engage/organization/african-students-organization,"Boston University’s African Students Organization strives to create an inclusive, celebratory, and educational space to uplift African countries, cultures, and people."
7,Afrithms,https://bu.campuslabs.com/engage/organization/afrithms,"Afrithms is a primarily Afro dance team dedicated to fostering a disciplined environment characterized by excellence, accountability, effective communication, and inclusivity. The team also serves as a celebratory melting pot of cultures and ideas."
8,After School Newsletter,https://bu.campuslabs.com/engage/organization/buas,"BUAS is a newsletter club dedicated to encourage BU Chinese international students engage in local campus activities, explore Boston culture, and connect with other students through publishing newsletters, social media posts, and pop-up events."
9,Albanian Student Association,https://bu.campuslabs.com/engage/organization/asabu,"We aim to provide a community for Albanians or students who are interested in the Albanian culture, history, and contemporary issues that will help enrich diversity and raise awareness of situations that affect Albanians worldwide."
10,Alianza Latina,https://bu.campuslabs.com/engage/organization/alianza-latina,"Alianza Latina is Boston University's largest Latino student organization and we focus on opening up the Latino culture to the BU community as a whole, regardless of your own race or ethnicity. We implement weekly meetings, cultural, academic, social, ..."
11,Allegrettos,https://bu.campuslabs.com/engage/organization/allegrettos,"The Allegrettos are a student-run all gender a cappella group at Boston University. If there is one thing the Grettos love more than each other, it’s recording their music! The group’s new direction includes intricate arrangements with R&B influence!"
12,Alliance of Portuguese Speakers,https://bu.campuslabs.com/engage/organization/aps,A student-run organization that focuses on bringing together students of Portuguese heritage and speakers of Portuguese.
13,Allocations Board,https://bu.campuslabs.com/engage/organization/allocations-board,The Allocations Board is an organization on BU’s campus tasked with distributing a portion of the Community Student Fee (CSF) to on- and off-campus events held by undergraduate student organizations. The AB is composed entirely of undergraduates from a...
14,Alpha Chi Sigma,https://bu.campuslabs.com/engage/organization/alpha-chi-sigma,"Alpha Chi Sigma is a national co-educational, professional chemistry fraternity dedicated to providing opportunities for study and leadership, as well as forming friendships and connections among students interested in chemistry and related fields."
15,Alpha Delta Pi,https://bu.campuslabs.com/engage/organization/alphadeltapi,"Welcome to the Rho chapter of Alpha Delta Pi! We have a strong sisterhood and a history of excellence. We are a diverse group of women who make a difference in each other's lives, in the community, and on campus. Alpha Delta Pi was founded in 1851, the.."
16,Alpha Epsilon Delta,https://bu.campuslabs.com/engage/organization/alpha-epsilon-delta,"Alpha Epsilon Delta, the only national pre-health honor society, was founded in 1926 at the University of Alabama and is currently one of the 57 members of the Association of College Honor Societies. The primary objectives of AED include promoting the ..."
17,Alpha Epsilon Phi,https://bu.campuslabs.com/engage/organization/alpha-epsilon-phi,"Alpha Epsilon Phi is a national sorority, founded in 1909 by seven women, dedicated to helping women become the best they can be. We prize individuality, encouraging each member to discover and develop the talents and abilities that make her unique."
18,Alpha Epsilon Pi Fraternity,https://bu.campuslabs.com/engage/organization/bostonaepi,"AEPi is a the nation's largest Jewish fraternity which provides a community establishing leadership, brotherhood, and social awareness for all its members."
19,"Alpha Kappa Alpha Sorority, Inc.",https://bu.campuslabs.com/engage/organization/alpha-kappa-alpha-sorority-inc,"Epsilon Chapter became Massachusetts’ first undergraduate chapter of Alpha Kappa Alpha Sorority, Incorporated when it was chartered on May 3, 1924 at Boston University. Since 1924, Epsilon immediately began its legacy of outstanding service and leaders..."
20,alpha Kappa Delta Phi,https://bu.campuslabs.com/engage/organization/alpha-kappa-delta-phi,"alpha Kappa Delta Phi was established at the University of California, Berkeley in the fall of 1989. Four headstrong visionaries: Susan Kim, Fannie Pon, Jill Yoshimura and Reina Yuan, initiated the concept of having an organization that would provide t..."
21,Alpha Kappa Psi,https://bu.campuslabs.com/engage/organization/alpha-kappa-psi,"Alpha Kappa Psi is recognized as the premier developer of principled business leaders. As a professional business fraternity, Alpha Kappa Psi offers an inclusive community with opportunities for networking, mentorship, and professional development."
22,Alpha Phi,https://bu.campuslabs.com/engage/organization/alpha-phi,"Founded in 1872 by ten forward thinking women at Syracuse University, Alpha Phi is now one of the oldest and largest women's fraternities in North America. The Eta Chapter of Alpha Phi was founded in 1883 and recently celebrated its 125th anniversary"
23,Alpha Phi Alpha,https://bu.campuslabs.com/engage/organization/alpha-phi-alpha,"The 17th house of Alpha Phi Alpha, Fraternity, Inc. is the first black Greek lettered organization in Boston, Massachusetts encompassing multiple schools."
24,Alpha Phi Omega,https://bu.campuslabs.com/engage/organization/alpha-phi-omega,Alpha Phi Omega (APO) Zeta Upsilon is BU's chapter of the national gender-inclusive community service fraternity. We work to promote active citizenship and ethical volunteerism in the city of Boston while building a diverse and meaningful community.
25,Alpha Sigma Kappa - Women in Technical Studies,https://bu.campuslabs.com/engage/organization/ask,"Alpha Sigma Kappa is a social sorority for women in STEM! We are here to provide a supportive community for women in the sciences socially, academically, and professionally."
26,Alternative Investments Group,https://bu.campuslabs.com/engage/organization/buaig,"BUAIG enhances the community's proficiency in non-public investments and develops well-rounded business professionals through a robust curriculum, a semester-long case competition, and professional development events."
27,Alzheimer's Buddies,https://bu.campuslabs.com/engage/organization/alzheimersbuddies,Alzheimer's Buddies is dedicated to connecting Boston University students with dementia residents in order to build friendships that reduce the social isolation experienced by this population.
28,A,https://bu.campuslabs.com/engage/organization/american-new-england-studies-gsa,"American & New England Studies Program Graduate Student Association (Graduate)
The American and New England Studies Graduate Student Association (AMNESP GSA) serves the American Studies and Preservation Studies graduate students through a variety of activities and opportunities."
29,American Cancer Society on Campus,https://bu.campuslabs.com/engage/organization/colleges-against-cancer,"American Cancer Society On Campus (ACS On Campus) is a nationwide collaboration of students, faculty, and staff dedicated to eliminating cancer. We fundraise, celebrate, and support those who are affected, as well as advocate for awareness."
30,American Constitution Society (Graduate),https://bu.campuslabs.com/engage/organization/american-constitution-society-graduate,"The American Constitution Society for Law and Policy (ACS) is one of the nation's leading progressive legal organizations. Founded in 2001, ACS is a rapidly growing network of lawyers, law students, scholars, judges, policymakers and other concerned in..."
31,American Institute of Aeronautics & Astronautics,https://bu.campuslabs.com/engage/organization/american-institute-of-aeronautics-astronautics,The Boston University branch of the American Institute of Aeronautics and Astronautics is a professional society dedicated to supporting BU engineers in finding lifelong resources and opportunities in the field.
32,American Society of Biochemistry and Molecular Biology,https://bu.campuslabs.com/engage/organization/american-society-of-bmb,"The American Society of Biochemistry and Molecular Biology works to construct a national network of undergraduate students and faculty for the advancement of research, education, and science outreach. Our mission is to provide networking and career de..."
33,American Society of Mechanical Engineers,https://bu.campuslabs.com/engage/organization/american-society-of-mechanical-engineers,"ASME is a not-for-profit membership organization that enables collaboration, knowledge sharing, career enrichment, and skills development across all engineering disciplines, toward a goal of helping the global engineering community"
34,Amnesty International Boston University,https://bu.campuslabs.com/engage/organization/amnesty-international-at-boston-university,Amnesty International is the world’s largest human rights organization that seeks to protect and defend human rights on a global scale and preserve the Universal Declaration of Human Rights. AIBU is Boston University's chapter of Amnesty International.
35,Anime Club,https://bu.campuslabs.com/engage/organization/anime-club,"The Anime Club is a social group in which both anime enthusiasts and dabblers in the Boston University community can come watch, discuss, and learn more about anime. We provide weekly programming open to the BU community as well as group excursions."
36,Anthropology In The Works,https://bu.campuslabs.com/engage/organization/anthropology-in-the-works,"We are a student-run group dedicated to learning more about the traditions and customs of different cultures by hosting and participating in excursions, discussions, presentations, and celebrations around campus and the Boston area."
37,Arab Student Organization,https://bu.campuslabs.com/engage/organization/arabs,"BUArabs' mission lies in building cultural, academic, and industrial bridges between BU and the Arab world. We aim to create a platform to express our ideas and grow professionally, academically, and personally while celebrating our Arab heritage."
38,Archaeology Society,https://bu.campuslabs.com/engage/organization/archaeology-society,"Our mission is to learn about, understand, and promote awareness of Archaeology and related fields such as Anthropology, Cultural Hertiage, and Art History all while having an awesome time! We offer an environment in which students can explore and disc..."
39,"Arché, Boston University's Student-Led Journal of Philosophy",https://bu.campuslabs.com/engage/organization/arche,"Arché is a journal of philosophy edited & published by students of the CAS in coord. w/ the Dept. of Phil. We strive to highlight exceptional student work, providing some with the opportunity to publish their work for a general philosophical readership."
40,Armenian Students Association,https://bu.campuslabs.com/engage/organization/armenian-students-association,The core purpose of the ASA is to bring Armenian students closer to their culture and the people in it. The ASA also strives to educate others on such culture and crucial Armenian history. The Armenian community in the Boston area is tightly knit and b...
41,Art Club,https://bu.campuslabs.com/engage/organization/artclub,The aim of Boston University’s Art Club is to create a fostering artistic community where students can engage with one another through different forms of artistic expression.
42,Art for the Heart,https://bu.campuslabs.com/engage/organization/artfortheheart,Art for the Heart will help student artists donate art that they’ve created to club art sales that fundraise for a different local charity each semester. Spread joy and help others through any art form! All experience levels welcome!
43,Art History Association,https://bu.campuslabs.com/engage/organization/art-history-association,"The Art History Association is an undergraduate student-run organization. We are open to anyone, regardless of your major or knowledge of art history. Throughout the year, we organize museum visits, networking, and social events."
44,Artificial Intelligence Society,https://bu.campuslabs.com/engage/organization/aisociety,"BUAIS at Boston University is an inclusive club fostering AI passion among students. We facilitate discussions, project development, and AI events, promoting comprehensive AI understanding for students at BU."
45,Arts & Literary Club,https://bu.campuslabs.com/engage/organization/alc,"ALC publishes arts and literary pieces submitted by BU students. The aim of ALC is to provide an accessible, university-wide platform for students to get recognition for their creative talents, regardless of their academic interests."
